dates,lesson
"Sunday, Oct 7th 2018",Python Scope Readme
"Friday, Oct 5th 2018",Introduction To Functions Lab
"Friday, Oct 5th 2018",Defining Functions Readme
"Friday, Oct 5th 2018",For Loops Lab
"Friday, Oct 5th 2018",For Loops Readme
"Friday, Oct 5th 2018",Plotting Data Lab
"Wednesday, Oct 3rd 2018",Plotting Data Readme
"Wednesday, Sep 26th 2018",Python Dictionaries Lab
"Monday, Sep 24th 2018",Excel To Python
"Monday, Sep 24th 2018",Python Dictionaries Readme
"Thursday, Sep 20th 2018",Congratulations!
"Thursday, Sep 20th 2018",Lists With Maps
"Thursday, Sep 20th 2018",Python Lists Lab
"Thursday, Sep 20th 2018",Python Lists Readme
"Thursday, Sep 20th 2018",Jupyter Notebook Introduction
"Thursday, Sep 20th 2018",Python Variables Lab
"Thursday, Sep 20th 2018",Python Variables Readme
"Thursday, Sep 20th 2018",Python Practice With Datatypes
"Thursday, Sep 20th 2018",Python Numbers And Booleans
"Thursday, Sep 20th 2018",Python Intro To Strings
"Thursday, Sep 20th 2018",Instant Data Science
"Thursday, Sep 20th 2018",Introduction To Data Science
